id,a1,a2,a3,tst,exm,course
2899,43.0,47.50,16.0,19.5,66.0,88
2975,39.5,34.00,,12.50,,24
2766,,,,,,3
3035,44.0,51.50,19.5,23.00,65.5,93
3389,44.5,50.50,19.0,20.50,57.0,85
2454,41.0,47.50,11.25,21.5,63.5,86
2708,34.0,,,,,8
3573,45.5,48.00,20.0,22,67.0,93
3510,41.0,47.75,20.0,17.00,57.5,81
2573,42.5,51.50,13.25,21.5,52.5,78
3077,31.8,39.00,15.25,15.00,43.0,66
3391,44.0,51.00,19.25,21.00,67.5,92
2863,44.0,52.00,19.75,23,67.0,93
2715,40.5,43.75,16.0,20,63.5,86
2868,38.5,46.90,19.25,16.00,52.5,78
3521,31.8,24.85,14.75,11.00,38.5,57
2633,43.5,42.20,,17,43.5,60
2588,43.0,46.75,18.5,22,43.0,73
2645,39.0,,,6.50,,15
2610,39.0,51.00,18.75,21.00,67.5,92
3245,39.2,31.90,18.25,13.5,,34
2432,39.5,50.00,13.5,17.00,38.5,62
2883,43.5,49.50,16.5,21.50,62.0,88
3029,44.5,33.50,10.5,20.50,34.5,60
2849,34.5,,,8.00,,13
3017,,,,,,2
2889,32.0,44.50,,13.50,0.0,28
3446,40.0,,,,,9
2909,38.0,48.00,16.75,17.50,29.5,61
3004,43.5,52.00,19.5,23.00,72.0,96
2687,43.0,39.75,16.25,19,46.0,66
3110,36.5,51.00,17.5,18,28.5,50
3448,41.0,50.00,18.75,24.00,72.0,97
3210,45.5,52.00,17.5,21.75,74.5,97
3213,43.0,50.00,19.0,18.50,48.5,78
3326,42.0,49.50,17.75,21.00,70.0,93
2850,,,,,,2
2936,45.5,39.25,19.5,18.00,56.5,80
3364,34.8,50.50,10.5,16.50,39.0,66
3094,43.0,47.50,18.0,22.50,52.0,82
3119,39.5,47.50,18.0,15.00,64.0,85
3570,40.0,51.50,17.75,22.00,67.5,92
3051,10.0,30.75,,20.5,62.5,68
3227,46.0,50.00,19.5,13.00,42.0,68
2568,43.0,50.50,18.0,23.00,66.0,92
2589,42.0,25.80,6.75,21.5,52.0,70
3445,40.5,45.25,17.0,17.00,48.5,74
3145,43.5,51.50,18.5,21.50,69.0,93
3400,33.0,43.75,20.0,19.00,62.0,86
2921,42.0,49.50,18.0,21.00,66.0,87
2950,41.0,51.25,17.5,19.00,64.0,88
2490,41.0,49.25,18.5,19.50,51.5,80
3164,42.0,51.50,17.25,21.50,69.5,91
3520,41.5,48.50,15.0,21.00,62.0,86
2729,43.5,50.75,18.25,24,67.5,93
3022,41.0,49.00,6.0,18.50,37.0,64
2867,42.0,,,7.50,,17
2888,38.0,48.00,20.0,19.5,57.0,83
2694,42.0,50.50,19.0,19.50,64.5,89
3494,40.0,25.35,18.0,18.50,46.0,71
3409,30.5,49.50,8.5,21.00,59.0,77
2835,44.0,52.00,17.5,14,,39
2567,40.5,46.50,17.5,21.00,47.5,77
2805,43.5,51.00,18.0,22.5,48.5,77
3615,45.5,51.00,18.5,21.5,68.0,93
3633,42.5,50.00,7.5,15.00,45.0,67
2866,40.0,43.75,18.0,18.50,59.0,83
2650,38.5,43.50,18.25,16.00,42.5,70
2933,38.5,50.00,13.0,16.00,49.0,74
3345,41.5,46.00,,21,29.0,55
3440,43.5,49.50,19.5,22.00,66.0,92
2878,41.5,50.50,18.75,22.00,72.0,96
3571,43.0,50.00,13.0,19.50,52.5,78
2741,43.5,48.00,18.75,24.00,64.0,91
2802,43.5,47.50,16.25,24,66.5,91
2862,36.5,45.50,19.5,11.00,29.5,55
2551,39.5,,,20.50,,25
3229,38.5,52.00,16.75,20.50,61.5,86
2489,20.5,15.50,,16,,17
2965,37.5,51.00,18.5,19.00,57.0,83
3498,41.5,49.75,15.0,20.50,68.5,91
2926,40.0,50.75,16.75,21.00,64.5,89
2676,40.5,47.50,18.75,24.00,64.0,91
2911,41.5,50.25,18.75,16.00,54.0,80
2634,39.5,50.50,18.5,21.50,63.5,89
3103,40.5,,,,,9
2526,40.5,41.00,15.5,21.00,71.5,92
3402,43.0,52.00,16.5,22.50,49.5,80
3010,42.5,38.25,14.0,19.00,40.5,69
2787,45.0,50.00,10.25,20,68.0,89
3657,43.0,50.50,15.25,15.50,55.5,79
2614,40.5,49.50,17.5,22.50,67.5,92
2654,43.5,50.00,19.5,23.50,68.5,95
2968,44.0,44.00,17.75,16.00,47.5,74
3064,40.0,46.50,17.5,18.50,48.5,76
2903,42.5,51.00,17.5,22.5,55.5,83
2629,43.0,50.50,17.25,18.00,50.5,78
2999,43.0,38.50,17.5,15.50,55.5,78
2846,43.5,51.00,19.25,22.00,72.5,96
2793,41.0,50.50,18.75,19.75,67.0,91
3260,43.0,33.25,18.5,19.00,61.0,83
2474,40.0,52.00,19.25,16.50,31.5,65
3617,35.5,34.50,11.75,19.50,53.5,76
3162,42.0,49.00,19.0,20.00,54.0,82
2918,41.0,45.50,11.75,20.50,50.0,73
2675,40.0,50.50,,15.25,24.0,47
3618,39.5,37.00,5.0,18.5,64.0,72
2513,40.0,48.50,17.75,21.00,62.0,87
2924,42.0,38.30,10.5,22.5,33.5,58
2529,37.9,14.90,15.5,23.5,,32
3380,42.0,50.25,18.5,20,69.0,92
3258,41.0,38.25,,23.5,62.5,75
2891,31.5,51.00,17.5,17.00,46.0,74
3471,37.0,,,7.5,,12
2686,41.5,51.50,17.75,17.75,61.5,85
3457,41.5,50.25,17.25,21.00,56.5,83
3368,43.5,51.50,16.25,8.50,15.5,47
2902,44.0,52.00,15.75,19.00,66.5,89
3300,40.5,50.00,16.0,22.00,61.5,87
3349,,,,,,4
2817,42.5,47.15,0.0,19.00,50.0,69
2579,33.3,42.50,15.0,16.5,57.5,80
2948,7.0,,1.75,17.50,37.5,39
2848,46.0,52.00,19.0,20.50,66.5,92
2756,43.0,50.50,14.0,17.00,57.5,79
2670,42.5,15.00,,19.50,63.0,69
2826,44.0,50.75,19.0,18.5,69.5,93
3528,42.5,45.00,12.25,21,70.0,91
2822,40.0,50.00,14.25,21.5,59.5,84
2449,36.0,52.00,18.75,21.00,71.0,94
3420,44.0,52.00,18.5,22.00,65.0,90
3037,45.5,44.00,9.5,21.5,61.0,83
2443,36.4,50.50,17.5,13.50,24.5,47
2607,38.0,28.65,,19.00,50.5,62
2963,42.0,43.25,10.5,20.00,54.5,78
3548,42.0,50.00,14.75,18.50,66.5,85
3160,37.0,43.25,17.5,22.50,49.0,73
2754,46.0,50.50,19.0,21.50,71.0,95
3163,42.0,49.00,16.0,21.00,70.5,93
3086,42.5,51.00,16.5,13.50,61.0,82
3597,43.0,51.00,19.0,22.5,53.0,79
2723,41.0,49.50,11.75,19.00,58.5,79
3306,44.0,49.00,18.75,19.00,52.5,81
3421,42.7,47.25,19.25,21.00,57.5,83
3234,44.0,44.90,19.75,20.5,40.0,70
2539,43.5,13.00,15.75,17.50,61.0,77
3204,38.5,40.00,18.5,17.50,67.5,87
2843,41.0,50.50,9.0,18.00,59.5,80
2937,46.0,52.00,19.0,24,70.5,96
3537,,,,,,1
3635,20.2,38.25,19.0,14.50,42.0,67
2527,41.5,11.50,14.0,19.50,53.5,70
2996,42.5,50.50,19.25,23.50,56.0,85
2808,27.4,,,18.5,,14
3187,40.0,51.50,17.5,21.00,61.5,86
3208,45.0,45.50,19.75,22.00,68.5,93
3203,44.0,46.75,,17.50,42.5,61
3442,45.0,34.95,,16,,24
3568,41.0,51.00,18.0,23.00,68.0,93
3050,46.0,51.00,19.0,17.50,70.5,92
2566,45.5,45.25,3.75,19.50,54.0,75
3288,43.5,52.00,12.75,18,52.0,77
2647,18.5,28.50,5.5,13,43.0,57
2855,44.0,50.25,14.0,18.50,64.5,87
3332,38.5,51.50,17.5,15.00,46.5,70
2829,36.5,49.50,15.25,16.50,24.5,47
2814,7.2,47.75,16.25,21.00,52.5,75
3558,41.5,50.00,19.0,23.00,66.5,93
2553,35.5,52.00,12.75,19.00,32.5,64
2538,41.0,47.50,18.5,22,71.0,95
2671,42.5,29.10,18.75,9.50,19.0,43
3376,44.0,51.00,19.25,23,71.0,96
2795,40.0,40.75,16.5,18,50.0,76
3087,,,,22.5,,11
3490,44.0,52.00,19.25,22.50,69.5,95
3606,40.0,50.50,19.75,20.5,40.0,69
3321,34.6,52.00,17.0,16.5,19.0,47
3551,34.0,49.25,14.0,23.00,49.5,76
2896,41.0,47.00,17.5,22.00,68.0,92
2685,41.5,50.00,0.0,13.00,46.0,65
2580,39.0,42.75,,22.00,,33
2644,41.0,,,21.5,28.5,44
3018,34.0,52.00,16.0,14.00,45.5,71
3076,40.5,38.10,17.0,21.50,58.0,80
3486,41.0,42.50,15.25,16.00,58.0,80
3393,39.0,49.00,17.25,15.25,43.0,71
2612,39.5,43.00,6.25,21.50,41.5,69
3674,39.5,49.50,7.75,16.5,65.5,80
3365,42.5,43.50,17.5,22.5,37.5,69
3189,45.0,7.00,,15.5,36.0,44
2949,41.5,51.50,18.25,19.00,66.0,90
3259,40.0,49.50,17.5,15.50,57.5,81
3686,38.5,49.00,18.25,22,64.0,89
2763,26.5,32.00,17.25,,4.5,24
2747,42.5,42.40,13.0,17.50,54.0,77
3495,44.0,47.50,18.5,22.50,68.0,91
2886,39.0,52.00,20.0,24.00,74.0,99
3444,43.0,51.25,19.25,23.00,66.5,93
3290,42.0,45.75,17.0,18.00,57.0,82
2517,43.0,51.50,17.75,19.50,66.5,90
2518,45.5,45.00,13.0,17.50,55.0,76
3191,37.9,45.90,6.5,20.00,60.5,80
2958,42.5,51.00,18.0,15.50,67.5,88
3015,43.5,52.00,19.0,22.00,66.5,92
2556,42.0,51.50,19.5,21.25,66.5,92
3482,41.5,50.50,16.0,18.00,40.5,71
2536,31.5,,,16.50,,19
2583,40.0,45.50,13.75,20.50,66.0,87
3186,38.0,24.75,19.0,20.00,55.5,78
2441,39.0,43.25,16.75,13.50,30.0,59
2910,36.5,52.00,18.5,20.5,53.0,81
2666,34.5,50.00,16.75,20.50,66.5,89
3703,15.8,,18.25,22.5,55.0,73
2602,44.0,9.50,19.5,19.00,34.0,63
3526,41.5,45.00,1.75,12.00,20.0,45
3387,35.5,50.50,19.0,18.50,41.5,72
2541,39.5,32.50,6.5,18.50,33.0,59
3377,38.0,48.00,5.25,20.50,57.5,79
3539,44.5,52.00,20.0,19.5,63.5,89
2941,43.5,36.50,15.0,23.50,66.5,89
2935,41.0,52.00,19.5,17.00,57.0,83
3336,3.7,46.75,,2.50,,13
3567,43.0,42.25,15.25,2.50,3.5,35
2718,44.5,49.25,13.75,22,,37
3270,41.0,49.00,12.5,16.5,21.0,47
3458,43.5,51.00,12.5,21.50,54.0,81
2700,43.5,51.25,15.0,21.50,55.5,83
3534,43.0,48.50,17.75,23.50,70.5,95
3243,42.0,49.00,19.0,22.50,58.0,86
2613,42.5,52.00,19.0,20.50,61.5,88
2830,42.5,50.50,19.0,21.00,62.0,88
2779,19.0,35.50,12.25,8.50,28.0,50
3221,44.0,27.00,,22.50,58.5,73
2992,39.0,52.00,17.0,20.50,52.0,81
3658,42.0,50.00,3.5,12.50,39.5,62
3330,42.5,43.25,18.0,20.50,67.5,90
3304,43.0,49.50,16.75,17.50,59.0,83
3454,44.0,52.00,14.75,24,58.5,85
3289,,,,,,4
2824,42.0,,,,,11
2479,28.3,52.00,10.25,19.50,37.5,64
2503,38.5,41.50,16.5,17.50,58.0,70
2594,,,,15,,10
3196,10.0,,,11.5,,11
2581,42.0,42.75,14.5,21.50,55.5,81
2697,40.5,51.00,19.5,19.50,60.0,86
3532,40.0,43.25,12.5,16.5,54.5,77
3411,43.0,48.00,18.25,22.00,67.5,92
3054,,,,8.50,,11
3566,42.5,50.50,16.5,8.50,23.0,47
3131,10.0,48.50,,11.00,,22
3069,40.0,49.00,17.5,22.50,73.5,96
3291,41.5,48.75,15.5,19.00,49.5,77
3188,43.0,50.00,17.75,20.50,60.0,86
2712,44.5,48.75,19.0,23.00,71.0,96
2605,43.0,52.00,18.5,22.50,62.5,88
3226,43.0,48.75,18.25,18.00,47.0,76
3370,36.0,26.00,,18,32.5,52
2585,38.0,36.25,,14.5,,26
2658,33.5,48.00,14.0,22.50,67.0,89
2912,42.0,31.75,15.5,18.5,43.5,69
3048,40.5,41.00,15.5,22.50,56.5,83
2962,43.0,50.00,15.0,21.00,58.0,84
3139,36.5,50.50,16.5,16.00,33.5,64
2515,43.5,38.50,16.0,24.00,68.5,92
2783,44.0,51.50,19.0,19.00,61.0,87
3313,43.0,52.00,17.5,23.00,70.0,95
2982,41.5,51.00,20.0,20.50,70.5,94
3353,30.6,47.00,,14.5,,21
2570,43.5,52.00,17.5,22.50,65.5,91
3219,43.5,52.00,19.5,17.50,58.0,84
2473,43.0,47.00,16.0,21.50,69.5,92
2724,40.7,42.50,15.0,22.5,70.5,92
3685,39.2,46.50,11.25,16,38.5,64
3120,44.0,52.00,17.75,22.50,65.5,91
3542,30.3,36.85,10.0,22,64.5,83
3609,41.5,51.50,19.75,23.5,44.5,72
3718,,50.50,18.5,18.5,59.0,72
3493,41.0,52.00,19.0,20.50,66.0,91
2884,37.0,51.00,18.25,19.00,32.5,66
2851,42.5,47.00,11.75,17.00,53.0,77
3580,43.0,46.00,18.5,9.00,50.0,72
3447,40.5,44.25,13.75,12.00,29.0,53
2688,41.0,50.50,15.25,20.50,57.5,83
3149,41.0,32.70,7.0,14.00,50.5,67
3410,21.0,39.75,18.25,14.50,32.5,60
3294,44.0,52.00,17.75,22.00,69.0,94
2505,45.5,52.00,19.0,22.5,,36
3286,40.5,48.75,,20.5,28.0,50
3124,41.5,49.00,14.0,15.00,35.0,64
2915,31.8,50.50,19.75,11.50,44.0,70
3023,39.0,43.50,19.5,18,47.0,74
2757,44.0,51.50,14.0,15.00,37.0,66
2957,40.5,52.00,11.75,22.00,42.0,72
3277,44.0,51.50,15.25,21.50,53.5,82
2751,43.0,52.00,20.0,23.00,69.5,95
2561,43.0,52.00,19.5,24,68.0,94
2655,44.0,49.00,17.5,22.50,67.0,92
2809,43.0,51.50,6.0,23.5,62.5,84
2492,45.5,51.00,16.25,22.50,67.5,92
3032,41.0,52.00,18.75,22.50,73.0,97
2894,37.5,31.25,16.5,12.50,30.0,57
2986,40.5,50.50,19.25,16.00,32.5,64
2984,28.5,35.50,,15.50,26.5,47
3544,42.0,49.00,19.25,22.50,67.0,93
2748,45.0,50.50,19.75,23.00,72.0,97
3559,35.2,37.60,6.5,16.50,37.5,62
3113,43.0,50.50,16.25,24.00,67.5,93
3638,30.4,40.55,13.75,19.50,38.0,67
3600,4.5,,,,,4
2587,45.0,38.70,15.75,21.5,65.0,88
3339,40.0,48.75,17.25,21.00,64.5,86
3522,41.5,47.50,15.25,18.50,57.5,82
2462,43.5,41.30,19.75,22.50,71.0,94
2970,42.5,51.00,13.0,15.50,37.0,66
3107,41.5,52.00,20.0,22.00,69.0,93
2960,32.5,43.75,11.5,19.50,58.5,76
2595,41.0,46.00,19.25,20.00,69.5,92
2643,41.7,43.55,15.5,19.00,65.0,87
2847,42.0,47.50,15.5,20.50,30.0,65
3074,43.5,32.25,5.0,16.00,34.0,58
3241,31.3,,,12.00,,20
3040,43.0,51.00,19.0,19.50,65.5,87
3323,29.5,28.50,10.0,12.00,41.0,57
2506,42.0,49.50,17.5,15.75,11.5,47
3223,42.0,47.50,17.75,21.00,69.0,92
3372,45.0,43.25,9.25,18.50,54.0,77
3257,42.5,50.50,20.0,23.50,71.0,96
3719,38.0,49.00,17.5,19.5,63.0,86
2692,42.5,51.25,16.5,23.00,57.5,85
3101,43.5,48.00,14.75,20.00,54.0,81
3044,39.5,46.00,,21,62.0,75
2895,43.5,45.50,17.5,19.00,63.0,87
3092,41.0,,19.0,19.00,63.0,73
3292,,,,,,2
2501,37.0,48.00,14.5,19.25,58.5,82
2678,43.5,52.00,18.25,22.00,73.5,97
3036,40.0,51.00,19.0,20.00,72.5,95
3049,41.5,51.50,17.5,22.50,68.0,93
2740,41.5,35.00,,20.50,,32
2565,41.0,52.00,19.5,17.50,61.0,85
2476,45.5,51.50,18.75,22.50,64.0,87
3347,41.0,52.00,20.0,17.00,40.0,72
2601,41.0,42.75,17.5,23,56.5,78
3055,42.0,49.00,11.5,17,70.0,89
3583,43.0,51.00,13.25,20,62.5,86
3483,41.5,36.10,4.25,15.50,50.5,65
