id,course,course_2
14019087,58,75
14154641,50,65
13710109,61,75
14020733,59,75
14151673,59,25
14141939,53,75
14333705,56,5
13023760,57,25
14427624,58,5
14328901,61,75
14158919,57,5
14328927,59,75
14151453,62,25
13815211,42,25
14024564,60,85
13719919,61,25
13903534,11,
14355550,17,
13199335,,
14316832,62,25
14289150,59,75
13884718,,
14248010,63,5
14427682,44,75
13739339,60,
14155491,15,
13881258,55,5
12635269,,
13469829,51,5
14049688,44,5
14271951,54,5
14168705,59,25
13899240,47,5
14467273,63,5
14463701,38,25
13656344,64,25
14024014,15,
14438095,60,25
14424711,53,75
14245110,59,5
14446870,59,15
13179672,,
14245123,63,
14289574,60,
14453313,53,25
14316939,31,25
14168682,62,5
14471764,48,
14154654,36,5
13544155,45,
14248065,32,25
14020597,63,5
14034004,59,5
14257467,55,5
14168624,63,5
14340484,42,
14225046,2,
13745459,57,
13457792,45,85
12517112,,
14450879,51,25
14340523,46,75
13863991,42,25
14323223,15,
14471780,11,
14139750,11,
14317190,57,75
14052756,35,
14108752,36,
13709709,64,25
13879794,63,5
14471793,43,75
14257496,60,
14175507,62,
14451027,39,25
13870405,63,75
14323401,10,
14427802,50,25
14420773,55,25
14379374,58,
14427828,63,5
14340620,58,25
14155307,26,25
14146866,35,75
14168938,35,
14299483,64,25
14339068,58,75
14457186,64,75
14471816,51,5
14272099,35,
11716011,61,5
14323540,63,5
13748553,35,
14139873,60,
13029117,40,
13485463,36,
13866626,13,
14467639,63,
13890508,63,25
14248120,61,1
14145841,61,25
14329829,64,25
14464603,56,
13173128,62,
14290453,63,5
14391093,63,25
13863454,51,35
14261233,54,75
13465027,7,
14245301,50,25
13305925,57,75
14138366,61,5
13838162,,
14334487,56,
14420812,58,75
14025136,41,75
13598127,41,
13293765,60,
14217863,45,75
14350461,60,5
14334490,63,75
14418413,58,75
14245314,32,
14427925,56,75
11358819,58,5
13749976,52,
14467723,5,
14051692,58,5
14424753,64,
14334568,,
14169021,41,25
14453973,61,75
14157334,62,2
14024357,53,25
14248162,57,5
14272170,62,
14299852,33,25
14299881,45,75
12834510,0,
14448166,59,
14427967,37,
14339233,31,25
14467804,53,5
14169377,62,
14062319,60,
14448331,59,5
14467833,3,
14438998,58,5
14261369,11,
14107847,7,
14380130,17,
14033979,59,25
14141450,14,25
11647672,59,5
14465136,46,
13750936,63,5
14330164,62,35
14324507,55,75
14168598,55,
14428005,40,25
14448470,47,75
13953762,23,25
14139828,58,75
14424779,61,75
14428018,60,
13318174,62,
14424782,5,
14465220,35,25
14138159,59,
13609838,44,5
14291012,41,
14039546,55,75
13781646,4,
14154926,62,5
14330342,55,
14291164,18,
14153778,60,5
13166672,64,5
14140189,,
14159565,62,
14272277,64,75
14454493,53,5
14424795,,
14156005,64,25
14169267,54,25
14438273,,
13710293,64,
14467972,45,5
14428063,62,
14444843,21,
14348910,62,5
14330546,37,5
14471858,47,5
11730835,44,
14042449,57,75
13029489,55,
14257726,54,25
12894071,42,
13866639,53,75
14178436,54,
14146280,54,5
14312438,38,
14017241,62,
14339576,57,
14444898,0,
14317967,59,
14261563,20,
14471861,60,
14261576,58,5
14473351,58,5
13528870,64,25
14441257,57,75
14245453,21,
14272358,36,
13866082,42,5
14257810,43,25
14451962,58,
13877851,62,25
11852519,62,75
14479216,50,75
13306458,44,5
14300628,54,5
13193629,,
13315656,60,25
14465835,7,
13891662,62,
14424834,61,5
14257836,34,75
14454859,5,
14395073,28,
14445130,32,
14418549,50,
13746788,6,
14028586,61,
14466038,64,5
14466041,64,25
14424850,56,
14292053,42,5
14245495,53,75
14325593,60,
14168116,62,
14318351,1,
13593449,61,75
14428238,15,7
14339903,,
13928519,,
14318377,41,
11044327,62,5
14428241,,
12611351,10,
14272455,64,75
12859870,49,5
11752101,,
14292493,63,
14159002,62,75
14438341,62,
14272468,40,25
14168048,26,
12860267,25,25
14245547,57,5
14329748,16,
14338807,21,
14329146,60,75
