@relation pcrs
@attribute student_num integer
@attribute a1 real
@attribute a2 real
@attribute a3 real
@attribute course real
@attribute exm real
@attribute is_online integer
@attribute la35_c real
@attribute la35_np integer
@attribute la35_s integer
@attribute la35_ts integer
@attribute la36_c real
@attribute la36_np integer
@attribute la36_nrp integer
@attribute la36_s integer
@attribute la36_ts integer
@attribute la37_c real
@attribute la37_np integer
@attribute la37_s integer
@attribute la37_ts integer
@attribute la39_c real
@attribute la39_np integer
@attribute la39_s integer
@attribute la39_ts integer
@attribute la41_c real
@attribute la41_np integer
@attribute la41_s integer
@attribute la41_ts integer
@attribute la42_c real
@attribute la42_np integer
@attribute la42_s integer
@attribute la42_ts integer
@attribute la45_c real
@attribute la45_np integer
@attribute la45_nrp integer
@attribute la45_s integer
@attribute la45_ts integer
@attribute la47_c real
@attribute la47_np integer
@attribute la47_s integer
@attribute la47_ts integer
@attribute la48_c real
@attribute la48_np integer
@attribute la48_nrf integer
@attribute la48_nrp integer
@attribute la48_s integer
@attribute la48_ts integer
@attribute la49_c real
@attribute la49_np integer
@attribute la49_s integer
@attribute la49_ts integer
@attribute la50_c real
@attribute la50_np integer
@attribute la50_s integer
@attribute la50_ts integer
@attribute la52_c real
@attribute la52_np integer
@attribute la52_s integer
@attribute la52_ts integer
@attribute la54_c real
@attribute la54_np integer
@attribute la54_s integer
@attribute la54_ts integer
@attribute la55_c real
@attribute la55_np integer
@attribute la55_s integer
@attribute la55_ts integer
@attribute la56_c real
@attribute la56_np integer
@attribute la56_nrp integer
@attribute la56_s integer
@attribute la56_ts integer
@attribute la57_c real
@attribute la57_np integer
@attribute la57_nrp integer
@attribute la57_s integer
@attribute la57_ts integer
@attribute la58_c real
@attribute la58_np integer
@attribute la58_s integer
@attribute la58_ts integer
@attribute la59_c real
@attribute la59_np integer
@attribute la59_nre integer
@attribute la59_nrp integer
@attribute la59_s integer
@attribute la59_ts integer
@attribute la60_c real
@attribute la60_np integer
@attribute la60_s integer
@attribute la60_ts integer
@attribute la61_c real
@attribute la61_np integer
@attribute la61_nre integer
@attribute la61_nrp integer
@attribute la61_s integer
@attribute la61_ts integer
@attribute la62_c real
@attribute la62_np integer
@attribute la62_nrp integer
@attribute la62_s integer
@attribute la62_ts integer
@attribute la63_c real
@attribute la63_np integer
@attribute la63_nre integer
@attribute la63_nrf integer
@attribute la63_nrp integer
@attribute la63_s integer
@attribute la63_ts integer
@attribute la64_c real
@attribute la64_np integer
@attribute la64_nre integer
@attribute la64_nrp integer
@attribute la64_s integer
@attribute la64_ts integer
@attribute la67_c real
@attribute la67_np integer
@attribute la67_nre integer
@attribute la67_nrp integer
@attribute la67_s integer
@attribute la67_ts integer
@attribute la68_c real
@attribute la68_np integer
@attribute la68_nrp integer
@attribute la68_s integer
@attribute la68_ts integer
@attribute la82_c real
@attribute la82_np integer
@attribute la82_s integer
@attribute la82_ts integer
@attribute la83_c real
@attribute la83_np integer
@attribute la83_s integer
@attribute la83_ts integer
@attribute la84_c real
@attribute la84_np integer
@attribute la84_nrf integer
@attribute la84_nrp integer
@attribute la84_s integer
@attribute la84_ts integer
@attribute la87_c real
@attribute la87_np integer
@attribute la87_nrf integer
@attribute la87_nrp integer
@attribute la87_s integer
@attribute la87_ts integer
@attribute la91_c real
@attribute la91_np integer
@attribute la91_s integer
@attribute la91_ts integer
@attribute tst real
@data
2426,1.0,0.9903846153846154,0.9875,0.97,0.9533333333333334,1,1.0,0,3,1444596249172,1.0,0,0,6,1444596499839,1.0,0,3,1444596863122,1.0,0,3,1445966258658,1.0,0,3,1443894291153,1.0,0,3,1447528788643,1.0,0,0,6,1444597032678,1.0,0,3,1443894426161,1.0,0,0,0,9,1443894228953,1.0,0,3,1443293482119,1.0,0,3,1443293507806,1.0,0,3,1443293531885,1.0,0,3,1443293398693,0.0,-1,3,1443293414855,1.0,0,0,6,1446315548014,1.0,0,0,6,1448389227365,1.0,0,3,1448389253511,1.0,0,4,0,18,1445966801564,1.0,0,3,1448389423682,1.0,0,0,0,9,1447529089238,1.0,0,0,6,1446315836878,1.0,0,1,1,0,21,1447529992371,1.0,0,1,0,9,1446315487579,1.0,0,1,0,9,1448995379110,1.0,0,0,6,1448933626695,1.0,0,3,1442794666897,1.0,0,3,1443893106516,1.0,0,1,0,12,1443893882590,1.0,0,3,0,15,1445967287901,1.0,0,3,1448995550358,0.9583333333333334
2427,0.9130434782608695,0.9711538461538461,0.825,0.75,0.6066666666666667,1,0.0,0,9,1444833574579,1.0,0,0,9,1444833681838,1.0,0,210,1444832613594,1.0,0,24,1446142017642,1.0,0,21,1444420223489,1.0,0,21,1448043115284,1.0,0,0,117,1444875273849,1.0,0,6,1444418877767,1.0,0,-1,0,9,1444418851471,1.0,1,12,1443742592645,1.0,0,6,1443643431494,1.0,0,3,1443643500315,1.0,0,3,1443639934104,0.0,-1,3,1443641397124,1.0,0,0,6,1447195510057,1.0,0,-1,3,1448995385126,1.0,0,3,1448995473446,1.0,0,7,0,33,1446167002405,1.0,0,3,1448996353189,1.0,0,-1,0,6,1448046647172,1.0,0,0,39,1447204864432,1.0,0,4,-1,0,18,1448047691814,1.0,0,-1,0,6,1447194012380,1.0,0,12,0,42,1449260353155,1.0,1,1,48,1449257246380,1.0,0,3,1442868759393,1.0,0,18,1444416179361,1.0,0,3,0,42,1444417912877,1.0,0,-1,0,6,1446167253497,1.0,0,3,1449257689870,0.78125
2429,0.9456521739130435,0.9038461538461539,0.7875,0.91,0.8933333333333333,1,1.0,0,3,1445193917865,1.0,0,0,6,1445194361864,1.0,0,6,1445195548048,1.0,0,6,1446230489231,1.0,0,3,1444416592543,1.0,0,15,1447961799865,1.0,0,0,18,1445196118566,1.0,0,6,1444416948093,1.0,0,-1,0,9,1444416456538,1.0,0,3,1443636824903,1.0,1,9,1443637071126,1.0,0,3,1443637120681,1.0,0,3,1443636669077,0.0,-1,3,1443636729877,1.0,0,-1,3,1447183074254,1.0,0,0,6,1449000499337,1.0,0,3,1449000580411,1.0,0,0,0,27,1446233286634,1.0,0,15,1449001233100,1.0,0,-1,-1,3,1447962785478,1.0,0,-1,3,1447187135091,1.0,0,-1,-1,-1,3,1447963446663,1.0,0,2,0,18,1447182921146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1,24,1443056477812,1.0,0,6,1444414895511,1.0,0,-1,0,9,1444415921584,1.0,0,-1,0,6,1446235072298,-1,-1,-1,-1,0.9583333333333334
2431,0.8913043478260869,0.9038461538461539,0.85,0.44,0.22666666666666666,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1,3,1443818429114,-1,-1,-1,-1,0.0,-1,3,1443818022013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75
2432,0.8586956521739131,0.9615384615384616,0.675,0.62,0.5133333333333333,0,1.0,0,3,1445203217175,0.0,-1,-1,3,1445204956248,-1,-1,-1,-1,1.0,0,6,1446147380946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,0,3,1443493150921,1.0,0,3,1443493244526,1.0,0,3,1443493298468,1.0,0,3,1443492801605,0.0,-1,3,1443493013583,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1,-1,-1,3,1446156189879,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,0,6,1443047371921,0.0,-1,3,1444271859957,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7083333333333334
2433,0.8695652173913043,0.9903846153846154,0.975,0.95,0.9266666666666666,1,1.0,0,3,1444951373049,1.0,0,0,6,1444953307707,1.0,5,81,1445385786795,1.0,0,3,1445903069987,1.0,1,33,1445305502242,1.0,0,3,1448046865258,1.0,1,1,6,1445386110640,1.0,1,51,1445305842527,1.0,0,0,0,9,1444362602406,1.0,0,3,1443637565566,1.0,0,3,1443637872830,1.0,0,3,1443637961706,1.0,1,6,1445232862824,0.0,-1,3,1443636729999,1.0,0,-1,3,1446756174817,1.0,0,-1,3,1448752015227,1.0,0,6,1448752661411,1.0,0,-1,-1,3,1445907661049,1.0,0,9,1448754290289,1.0,0,-1,0,6,1448048086766,1.0,0,-1,3,1446834436743,1.0,0,0,0,0,27,1448052328703,1.0,0,-1,-1,3,1446755942759,1.0,0,-1,-1,3,1449260071710,1.0,0,0,39,1449259614575,1.0,0,3,1443122305132,1.0,2,9,1445304027017,1.0,0,-1,0,15,1444356127627,1.0,0,-1,0,9,1446076567038,1.0,0,9,1449261247035,0.9583333333333334
2434,0.9239130434782609,0.9903846153846154,0.9125,0.87,0.7933333333333333,1,1.0,0,3,1444832453796,1.0,0,0,21,1444833508272,1.0,3,75,1444842509174,1.0,0,9,1446147663625,1.0,0,33,1444365349154,1.0,0,9,1447625805902,1.0,3,3,45,1444843916321,1.0,0,45,1444366728158,1.0,1,3,1,33,1444362484126,1.0,0,6,1443317608906,1.0,0,9,1443317781541,1.0,0,3,1443317842815,1.0,0,3,1443317482152,0.0,-1,3,1443317526919,1.0,0,0,9,1447112000273,1.0,0,0,6,1448550128338,1.0,0,3,1448550155026,1.0,0,1,0,9,1446148525801,1.0,0,3,1448550393058,1.0,0,-1,0,15,1448038604174,1.0,0,0,6,1447113313236,1.0,0,-1,4,0,18,1448040879009,1.0,0,1,0,9,1447109932043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,0,3,1442720214704,1.0,0,18,1444074086720,1.0,0,-1,0,51,1444316846361,1.0,0,-1,-1,3,1446234213303,-1,-1,-1,-1,0.8958333333333334
2435,0.8630434782608696,0.9375,0.8,0.92,0.9466666666666667,1,1.0,0,3,1444621552110,1.0,0,-1,3,1444622219892,1.0,0,12,1444623800526,1.0,0,3,1446017057433,1.0,0,18,1444107135032,1.0,0,3,1447533228916,1.0,0,0,15,1444624956063,1.0,0,3,1444109318197,1.0,0,0,0,9,1444105891828,1.0,0,3,1443638479737,1.0,0,3,1443638528430,1.0,0,3,1443638584216,1.0,0,6,1443638026429,0.0,-1,3,1443638356284,1.0,0,-1,3,1446765539319,1.0,0,0,6,1448342087512,1.0,0,12,1448342310913,1.0,0,5,0,45,1446065003725,1.0,0,18,1448343160194,1.0,0,-1,0,6,1447534040535,1.0,0,0,12,1446771870234,1.0,0,3,0,0,27,1447538508145,1.0,0,-1,0,9,1446765399835,1.0,0,4,0,21,1448834510661,1.0,0,0,12,1448829804403,1.0,0,3,1443195113474,1.0,2,30,1444101420817,1.0,0,-1,0,15,1444105037479,1.0,0,3,0,33,1446065722924,1.0,0,3,1448903425491,0.8125
2436,0.9891304347826086,1.0,0.9125,0.91,0.8933333333333333,1,1.0,0,3,1445028185863,1.0,0,0,6,1445030505221,1.0,0,66,1445107622426,1.0,0,6,1446222078269,1.0,0,30,1444416985847,1.0,0,15,1448000491711,1.0,0,0,39,1445109502369,1.0,0,6,1444417904872,1.0,0,1,0,15,1444416335485,1.0,0,3,1443762402598,1.0,0,3,1443762461420,1.0,0,3,1443762504542,1.0,0,3,1443658022285,0.0,-1,3,1443762101580,1.0,0,0,6,1446840548584,1.0,0,-1,3,1448828117721,1.0,0,3,1448828150727,1.0,0,4,0,18,1446223370331,1.0,0,21,1448828828431,1.0,0,2,0,30,1448056307779,1.0,0,0,48,1446848902758,1.0,2,9,-1,2,39,1448056731641,1.0,0,-1,0,9,1446839837487,1.0,0,1,0,15,1449262880441,1.0,0,0,18,1449261039861,1.0,0,3,1443119826755,1.0,0,21,1444414154062,1.0,1,-1,1,21,1444415486944,1.0,0,3,0,81,1446225792935,1.0,0,3,1449263687177,0.8125
2437,0.9456521739130435,0.7932692307692307,0.8125,0.86,0.8333333333333334,1,1.0,0,6,1444669914233,1.0,0,0,9,1444670165011,1.0,0,21,1444833554701,1.0,0,3,1446222952743,1.0,0,6,1444422955356,1.0,0,6,1447967663355,1.0,0,-1,3,1444834585347,1.0,0,6,1444423893490,1.0,0,-1,0,6,1444422121566,1.0,0,3,1443465095732,1.0,0,3,1443465222445,1.0,0,3,1443465176404,1.0,0,3,1443464491340,0.0,-1,3,1443464665547,1.0,0,-1,3,1447098993278,1.0,1,1,15,1448307903765,1.0,0,6,1448307964122,1.0,0,1,0,9,1446224348835,1.0,0,3,1448308056950,1.0,0,2,0,30,1447969362915,1.0,0,0,6,1447100377650,1.0,0,2,3,0,96,1448037175805,1.0,0,-1,-1,3,1447098514105,1.0,0,11,0,51,1449198486397,1.0,0,0,33,1449177864138,1.0,0,3,1443064530056,1.0,0,3,1444419215154,1.0,0,1,0,9,1444421653576,1.0,0,3,0,18,1446241693587,1.0,1,15,1449248685314,0.8333333333333334
