@relation pcrs
@attribute course_class integer
@attribute la35_c real
@attribute la35_s integer
@attribute la36_c real
@attribute la36_s integer
@attribute la37_c real
@attribute la37_s integer
@attribute la39_c real
@attribute la39_s integer
@attribute la41_c real
@attribute la41_s integer
@attribute la42_c real
@attribute la42_s integer
@attribute la45_c real
@attribute la45_s integer
@attribute la47_c real
@attribute la47_s integer
@attribute la48_c real
@attribute la48_nrf integer
@attribute la48_s integer
@attribute la49_c real
@attribute la49_s integer
@attribute la50_c real
@attribute la50_s integer
@attribute la52_c real
@attribute la52_s integer
@attribute la54_c real
@attribute la54_s integer
@attribute la55_c real
@attribute la55_s integer
@attribute la56_c real
@attribute la56_s integer
@attribute la57_c real
@attribute la57_s integer
@attribute la58_c real
@attribute la58_s integer
@attribute la59_c real
@attribute la59_nre integer
@attribute la59_s integer
@attribute la60_c real
@attribute la60_s integer
@attribute la61_c real
@attribute la61_nre integer
@attribute la61_s integer
@attribute la62_c real
@attribute la62_s integer
@attribute la63_c real
@attribute la63_nre integer
@attribute la63_nrf integer
@attribute la63_s integer
@attribute la64_c real
@attribute la64_nre integer
@attribute la64_s integer
@attribute la67_c real
@attribute la67_nre integer
@attribute la67_s integer
@attribute la68_c real
@attribute la68_s integer
@attribute la82_c real
@attribute la82_s integer
@attribute la83_c real
@attribute la83_s integer
@attribute la84_c real
@attribute la84_nrf integer
@attribute la84_s integer
@attribute la87_c real
@attribute la87_nrf integer
@attribute la87_s integer
@attribute la91_c real
@attribute la91_s integer
@data
1,1.0,3,1.0,6,1.0,3,1.0,3,1.0,3,1.0,3,1.0,6,1.0,3,1.0,0,9,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,6,1.0,6,1.0,3,1.0,4,18,1.0,3,1.0,0,9,1.0,6,1.0,1,1,21,1.0,1,9,1.0,1,9,1.0,6,1.0,3,1.0,3,1.0,1,12,1.0,3,15,1.0,3
1,0.0,9,1.0,9,1.0,210,1.0,24,1.0,21,1.0,21,1.0,117,1.0,6,1.0,-1,9,1.0,12,1.0,6,1.0,3,1.0,3,0.0,3,1.0,6,1.0,3,1.0,3,1.0,7,33,1.0,3,1.0,-1,6,1.0,39,1.0,4,-1,18,1.0,-1,6,1.0,12,42,1.0,48,1.0,3,1.0,18,1.0,3,42,1.0,-1,6,1.0,3
1,1.0,3,1.0,6,1.0,6,1.0,6,1.0,3,1.0,15,1.0,18,1.0,6,1.0,-1,9,1.0,3,1.0,9,1.0,3,1.0,3,0.0,3,1.0,3,1.0,6,1.0,3,1.0,0,27,1.0,15,1.0,-1,3,1.0,3,1.0,-1,-1,3,1.0,2,18,-1.0,-1,-1,-1.0,-1,1.0,24,1.0,6,1.0,-1,9,1.0,-1,6,-1.0,-1
0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1,0.0,3,-1.0,-1,0.0,3,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1
1,1.0,3,0.0,3,-1.0,-1,1.0,6,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,-1,-1,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,-1.0,-1,-1.0,-1,-1.0,-1,0.0,-1,3,-1.0,-1,-1.0,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,1.0,6,0.0,3,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1
1,1.0,3,1.0,6,1.0,81,1.0,3,1.0,33,1.0,3,1.0,6,1.0,51,1.0,0,9,1.0,3,1.0,3,1.0,3,1.0,6,0.0,3,1.0,3,1.0,3,1.0,6,1.0,-1,3,1.0,9,1.0,-1,6,1.0,3,1.0,0,0,27,1.0,-1,3,1.0,-1,3,1.0,39,1.0,3,1.0,9,1.0,-1,15,1.0,-1,9,1.0,9
1,1.0,3,1.0,21,1.0,75,1.0,9,1.0,33,1.0,9,1.0,45,1.0,45,1.0,3,33,1.0,6,1.0,9,1.0,3,1.0,3,0.0,3,1.0,9,1.0,6,1.0,3,1.0,1,9,1.0,3,1.0,-1,15,1.0,6,1.0,-1,4,18,1.0,1,9,-1.0,-1,-1,-1.0,-1,1.0,3,1.0,18,1.0,-1,51,1.0,-1,3,-1.0,-1
1,1.0,3,1.0,3,1.0,12,1.0,3,1.0,18,1.0,3,1.0,15,1.0,3,1.0,0,9,1.0,3,1.0,3,1.0,3,1.0,6,0.0,3,1.0,3,1.0,6,1.0,12,1.0,5,45,1.0,18,1.0,-1,6,1.0,12,1.0,3,0,27,1.0,-1,9,1.0,4,21,1.0,12,1.0,3,1.0,30,1.0,-1,15,1.0,3,33,1.0,3
1,1.0,3,1.0,6,1.0,66,1.0,6,1.0,30,1.0,15,1.0,39,1.0,6,1.0,1,15,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,6,1.0,3,1.0,3,1.0,4,18,1.0,21,1.0,2,30,1.0,48,1.0,9,-1,39,1.0,-1,9,1.0,1,15,1.0,18,1.0,3,1.0,21,1.0,-1,21,1.0,3,81,1.0,3
1,1.0,6,1.0,9,1.0,21,1.0,3,1.0,6,1.0,6,1.0,3,1.0,6,1.0,-1,6,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,1.0,3,1.0,15,1.0,6,1.0,1,9,1.0,3,1.0,2,30,1.0,6,1.0,2,3,96,1.0,-1,3,1.0,11,51,1.0,33,1.0,3,1.0,3,1.0,1,9,1.0,3,18,1.0,15
