trees.RandomForest,rules.PART,bayes.NaiveBayes,trees.J48,multitron,bayes.BayesNet,trees.DecisionStump,rules.DecisionTable
56.1538,52.3077,61.5385,51.5385,48.484848484848484,51.5385,52.3077,54.6154
55.3846,48.4615,53.0769,45.3846,47.727272727272727,46.9231,47.6923,47.6923
50.7692,47.6923,54.6154,46.9231,56.060606060606055,54.6154,50.7692,53.0769
50.7692,49.2308,56.1538,52.3077,48.484848484848484,53.8462,47.6923,50.0
48.4615,49.2308,53.0769,51.5385,58.333333333333336,52.3077,50.7692,52.3077
46.9231,54.6154,56.1538,48.4615,52.272727272727273,49.2308,46.1538,41.5385
50.0,49.2308,52.3077,50.0,53.030303030303031,46.1538,43.8462,43.8462
48.4615,51.5385,53.0769,54.6154,46.212121212121211,46.1538,44.6154,52.3077
51.5385,48.4615,52.3077,55.3846,53.787878787878782,49.2308,38.4615,50.0
47.6923,48.4615,51.5385,46.9231,48.484848484848484,49.2308,43.0769,37.6923
46.9231,45.3846,53.8462,53.8462,56.81818181818182,40.7692,47.6923,45.3846
51.5385,50.0,50.7692,48.4615,50.0,54.6154,38.4615,46.1538
47.6923,53.8462,60.7692,52.3077,50.757575757575758,50.0,50.7692,53.8462
52.3077,46.9231,61.5385,54.6154,56.060606060606055,46.9231,42.3077,45.3846
40.7692,47.6923,53.0769,51.5385,51.515151515151516,48.4615,50.7692,46.9231
51.5385,45.3846,57.6923,49.2308,58.333333333333336,44.6154,40.7692,45.3846
51.5385,53.8462,58.4615,54.6154,56.060606060606055,55.3846,49.2308,56.1538
53.8462,40.7692,59.2308,48.4615,53.787878787878782,53.0769,44.6154,47.6923
44.6154,44.6154,56.9231,40.0,53.030303030303031,44.6154,46.9231,40.0
52.3077,47.6923,51.5385,49.2308,57.575757575757578,54.6154,48.4615,51.5385
53.8462,50.0,55.3846,53.8462,51.515151515151516,59.2308,46.1538,53.8462
53.8462,50.0,63.0769,48.4615,45.454545454545453,39.2308,40.0,58.4615
52.3077,50.7692,53.8462,47.6923,51.515151515151516,54.6154,46.1538,50.0
55.3846,49.2308,61.5385,50.7692,51.515151515151516,56.9231,51.5385,56.1538
60.7692,54.6154,57.6923,57.6923,51.515151515151516,54.6154,54.6154,52.3077
56.1538,46.1538,60.0,50.0,51.515151515151516,48.4615,40.0,45.3846
49.2308,46.1538,53.0769,42.3077,52.272727272727273,48.4615,49.2308,46.9231
45.3846,46.9231,49.2308,50.7692,50.0,49.2308,48.4615,47.6923
50.7692,52.3077,50.7692,51.5385,53.787878787878782,54.6154,52.3077,48.4615
44.6154,39.2308,60.0,41.5385,52.272727272727273,48.4615,48.4615,50.0
54.6154,50.0,50.7692,48.4615,50.0,50.7692,47.6923,51.5385
43.8462,39.2308,50.7692,44.6154,53.787878787878782,46.9231,41.5385,46.9231
48.4615,43.8462,54.6154,50.0,52.272727272727273,50.0,42.3077,40.0
50.0,46.9231,46.9231,50.0,53.030303030303031,48.4615,44.6154,43.8462
54.6154,41.5385,50.7692,43.0769,54.54545454545454,44.6154,35.3846,46.1538
59.2308,53.0769,56.1538,53.0769,54.54545454545454,50.7692,44.6154,55.3846
50.0,49.2308,56.1538,49.2308,54.54545454545454,52.3077,46.1538,55.3846
50.0,47.6923,53.8462,46.9231,54.54545454545454,46.1538,40.7692,50.7692
47.6923,46.1538,55.3846,45.3846,50.0,39.2308,39.2308,50.7692
52.3077,43.0769,60.7692,45.3846,50.0,47.6923,45.3846,48.4615
40.7692,43.8462,52.3077,43.8462,54.54545454545454,43.0769,43.0769,50.0
46.9231,43.8462,56.1538,43.0769,47.727272727272727,45.3846,44.6154,49.2308
50.7692,46.1538,54.6154,50.7692,57.575757575757578,53.0769,46.1538,52.3077
46.9231,42.3077,58.4615,52.3077,57.575757575757578,38.4615,38.4615,37.6923
53.8462,48.4615,54.6154,43.8462,51.515151515151516,52.3077,49.2308,53.0769
59.2308,55.3846,58.4615,56.9231,52.272727272727273,49.2308,48.4615,56.1538
60.0,46.1538,61.5385,52.3077,51.515151515151516,47.6923,50.0,51.5385
47.6923,39.2308,53.0769,46.1538,51.515151515151516,53.0769,49.2308,48.4615
60.0,48.4615,56.1538,45.3846,53.030303030303031,50.0,40.0,46.9231
49.2308,52.3077,47.6923,50.0,50.757575757575758,48.4615,37.6923,43.0769
