trees.RandomForest,rules.PART,bayes.NaiveBayes,trees.J48,bayes.BayesNet,trees.DecisionStump,rules.DecisionTable
74.4186,68.6047,79.0698,70.9302,74.4186,69.7674,62.7907
76.7442,56.9767,75.5814,72.093,70.9302,63.9535,69.7674
74.4186,67.4419,68.6047,66.2791,73.2558,73.2558,73.2558
75.5814,69.7674,77.907,67.4419,74.4186,70.9302,69.7674
68.6047,60.4651,76.7442,66.2791,69.7674,65.1163,68.6047
74.4186,66.2791,77.907,65.1163,73.2558,69.7674,70.9302
80.2326,65.1163,79.0698,69.7674,80.2326,70.9302,77.907
65.1163,72.093,72.093,66.2791,65.1163,67.4419,66.2791
76.7442,60.4651,76.7442,72.093,73.2558,73.2558,74.4186
74.4186,69.7674,75.5814,67.4419,75.5814,69.7674,69.7674
81.3953,75.5814,73.2558,74.4186,77.907,65.1163,73.2558
74.4186,74.4186,69.7674,66.2791,69.7674,65.1163,68.6047
81.3953,68.6047,80.2326,72.093,81.3953,74.4186,72.093
68.6047,56.9767,69.7674,62.7907,76.7442,75.5814,67.4419
75.5814,68.6047,77.907,66.2791,72.093,66.2791,67.4419
80.2326,74.4186,76.7442,74.4186,77.907,67.4419,65.1163
74.4186,67.4419,79.0698,61.6279,73.2558,65.1163,68.6047
76.7442,74.4186,75.5814,66.2791,68.6047,59.3023,66.2791
74.4186,63.9535,70.9302,65.1163,68.6047,60.4651,66.2791
73.2558,69.7674,76.7442,70.9302,70.9302,63.9535,66.2791
67.4419,72.093,74.4186,74.4186,65.1163,65.1163,66.2791
76.7442,65.1163,69.7674,67.4419,73.2558,61.6279,61.6279
73.2558,60.4651,72.093,67.4419,74.4186,76.7442,68.6047
79.0698,69.7674,79.0698,72.093,69.7674,68.6047,68.6047
66.2791,65.1163,70.9302,62.7907,68.6047,59.3023,65.1163
72.093,66.2791,75.5814,72.093,75.5814,70.9302,74.4186
74.4186,75.5814,76.7442,58.1395,74.4186,68.6047,67.4419
72.093,68.6047,80.2326,67.4419,70.9302,67.4419,65.1163
72.093,69.7674,70.9302,65.1163,73.2558,70.9302,72.093
68.6047,69.7674,75.5814,60.4651,69.7674,67.4419,63.9535
72.093,68.6047,74.4186,69.7674,72.093,61.6279,62.7907
75.5814,69.7674,83.7209,69.7674,76.7442,67.4419,76.7442
75.5814,72.093,82.5581,73.2558,75.5814,72.093,73.2558
70.9302,62.7907,79.0698,67.4419,74.4186,65.1163,74.4186
67.4419,67.4419,73.2558,74.4186,62.7907,67.4419,66.2791
69.7674,66.2791,70.9302,63.9535,67.4419,67.4419,70.9302
75.5814,77.907,76.7442,75.5814,79.0698,74.4186,66.2791
76.7442,74.4186,77.907,73.2558,76.7442,62.7907,76.7442
74.4186,67.4419,76.7442,72.093,74.4186,59.3023,61.6279
72.093,66.2791,80.2326,70.9302,72.093,68.6047,61.6279
73.2558,67.4419,79.0698,70.9302,75.5814,66.2791,72.093
73.2558,69.7674,70.9302,68.6047,66.2791,63.9535,69.7674
73.2558,82.5581,81.3953,72.093,75.5814,69.7674,67.4419
74.4186,79.0698,80.2326,70.9302,81.3953,72.093,77.907
76.7442,59.3023,69.7674,63.9535,73.2558,60.4651,69.7674
68.6047,60.4651,76.7442,74.4186,72.093,70.9302,72.093
73.2558,66.2791,82.5581,68.6047,68.6047,63.9535,67.4419
80.2326,72.093,76.7442,80.2326,75.5814,70.9302,73.2558
65.1163,59.3023,65.1163,62.7907,61.6279,59.3023,60.4651
70.9302,63.9535,72.093,65.1163,73.2558,70.9302,68.6047
